Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1508083200000,5539.99000000,5544.14000000,5520.10000000,5524.03000000,13.72303500,1508084999999,75877.17629673,55,5.68477400,31484.61634492,12621.35637350
1508085000000,5530.00000000,5539.58000000,5468.01000000,5499.79000000,29.04564500,1508086799999,160064.79571381,126,5.98948000,32981.82298613,12641.35716333
1508086800000,5499.61000000,5500.00000000,5475.95000000,5499.00000000,16.27557600,1508088599999,89502.89268885,76,15.90967400,87495.14323797,12631.02730773
1508088600000,5499.00000000,5541.67000000,5499.00000000,5515.00000000,15.03835400,1508090399999,83013.22822569,154,10.90747400,60252.67263698,12629.99824661
1508090400000,5515.00000000,5541.67000000,5515.00000000,5535.00000000,16.02680700,1508092199999,88459.12205438,140,4.43202300,24478.59216967,12658.66479277
1508092200000,5539.96000000,5569.47000000,5518.09000000,5540.03000000,41.74815000,1508093999999,231411.26139440,107,12.19442600,67606.61863287,12655.77631676
1508094000000,5540.04000000,5569.43000000,5535.00000000,5535.05000000,17.38118800,1508095799999,96319.08055203,97,7.76500300,43045.60419028,12705.72273839
1508095800000,5535.09000000,5543.99000000,5533.56000000,5533.56000000,39.55893800,1508097599999,218964.02257583,127,14.85971100,82251.87578412,12700.43432348
1508097600000,5530.23000000,5544.00000000,5502.68000000,5502.68000000,25.08458800,1508099399999,138549.10272309,93,10.90709200,60324.51958123,12718.53486333
1508099400000,5502.68000000,5542.43000000,5485.00000000,5537.99000000,16.38828200,1508101199999,90100.46807202,76,7.58614600,41776.05529514,12726.99254919
1508101200000,5509.02000000,5538.97000000,5508.61000000,5508.64000000,11.06242700,1508102999999,60989.65295651,78,2.47295400,13671.95221734,12705.47309364
1508103000000,5528.89000000,5573.57000000,5509.01000000,5569.99000000,13.89632200,1508104799999,77003.14450484,69,11.60286900,64363.93572102,12703.32077195
1508104800000,5569.48000000,5694.30000000,5569.48000000,5660.01000000,33.65719200,1508106599999,189841.42818975,208,16.72843400,94346.43644180,12696.88094411
1508106600000,5660.01000000,5747.90000000,5640.03000000,5747.90000000,28.36195900,1508108399999,161279.19826206,144,14.50782900,82637.84291614,12711.02342284
1508108400000,5715.01000000,5756.36000000,5715.01000000,5722.06000000,15.46759500,1508110199999,88821.07156896,149,7.08607700,40753.26003499,12691.62252902
1508110200000,5722.07000000,5744.98000000,5676.00000000,5709.99000000,24.52792100,1508111999999,139902.84787553,171,5.30450100,30290.92859448,12726.86837082
1508112000000,5710.00000000,5739.99000000,5700.02000000,5708.04000000,24.81616300,1508113799999,141880.02485961,88,10.33643700,59109.47007341,12722.00792217
1508113800000,5721.74000000,5721.98000000,5690.05000000,5713.67000000,29.92457800,1508115599999,170845.85677881,164,15.64814400,89366.70995446,12724.22341285
1508115600000,5713.77000000,5721.99000000,5695.01000000,5696.07000000,30.21697100,1508117399999,172454.02605542,144,6.48981000,37074.59110702,12697.56369970
1508117400000,5696.09000000,5719.98000000,5680.01000000,5711.80000000,20.15484900,1508119199999,114959.35702679,65,7.02086600,40139.67752517,12690.86111684
1508119200000,5711.00000000,5719.74000000,5680.01000000,5707.98000000,23.44299800,1508120999999,133568.43024153,110,9.17993700,52382.60828612,12750.54632374
1508121000000,5703.85000000,5739.99000000,5701.02000000,5701.03000000,19.18972000,1508122799999,109746.55268144,141,7.69755200,44034.34606769,12692.87131439
1508122800000,5701.14000000,5719.96000000,5695.00000000,5695.04000000,18.53955200,1508124599999,105684.34456571,143,5.14483500,29348.31537642,12759.76597823
1508124600000,5695.04000000,5695.04000000,5600.02000000,5600.05000000,24.29511600,1508126399999,137191.22301951,159,8.29104100,47005.04286807,12739.98711576
1508126400000,5601.02000000,5659.95000000,5601.02000000,5640.01000000,10.66298000,1508128199999,60033.77559462,98,5.40805700,30463.12008207,12725.12394970
1508128200000,5640.19000000,5657.20000000,5628.00000000,5657.20000000,13.69582200,1508129999999,77225.04606568,123,7.79725900,44001.97318230,12719.75118262
1508130000000,5657.20000000,5657.20000000,5628.09000000,5630.01000000,8.78750400,1508131799999,49569.93270874,84,7.07084500,39906.79457589,12675.45363975
1508131800000,5656.60000000,5694.77000000,5628.98000000,5660.61000000,27.71725300,1508133599999,157239.81644172,221,11.22746400,63733.30186773,12725.41593523
1508133600000,5660.62000000,5678.86000000,5628.99000000,5635.01000000,26.52524700,1508135399999,149764.19521002,226,4.70461400,26509.16715989,12777.46636770
1508135400000,5635.02000000,5679.99000000,5635.01000000,5663.21000000,20.56148500,1508137199999,116218.85018585,117,7.77867700,44065.12877840,12760.13840003
1508137200000,5663.19000000,5674.77000000,5600.01000000,5622.69000000,33.18368500,1508138999999,187449.35699911,182,7.11486700,40210.02562397,12798.32048935
1508139000000,5622.67000000,5628.97000000,5600.03000000,5628.32000000,16.33739500,1508140799999,91822.02959660,122,10.24549400,57644.85151061,12775.72131175
1508140800000,5628.31000000,5639.98000000,5600.02000000,5600.03000000,25.26911900,1508142599999,142050.45027825,257,15.65040600,88049.86998420,12762.86932625
1508142600000,5600.56000000,5639.98000000,5599.32000000,5639.94000000,36.65175300,1508144399999,206049.89329839,212,30.91939700,173858.96502268,12748.75206157
1508144400000,5639.94000000,5639.94000000,5585.19000000,5613.99000000,29.39642100,1508146199999,165194.41364646,201,12.79941500,72063.56048299,12730.92827962
1508146200000,5613.99000000,5639.97000000,5601.34000000,5639.96000000,14.65896800,1508147999999,82546.65497363,213,10.84466600,61091.08738329,12723.76049498
1508148000000,5632.00000000,5720.00000000,5631.69000000,5707.02000000,50.59543500,1508149799999,286193.97836041,326,25.33040600,143339.54517430,12727.26086702
1508149800000,5707.02000000,5719.00000000,5689.51000000,5705.15000000,21.11667900,1508151599999,120399.34985228,161,1.61106100,9186.26346712,12715.23987424
1508151600000,5705.14000000,5749.99000000,5699.09000000,5715.34000000,57.93423800,1508153399999,331389.99611469,278,23.77529300,136116.55899030,12725.50997997
1508153400000,5702.23000000,5747.99000000,5702.23000000,5728.99000000,34.08070000,1508155199999,194992.41135424,163,18.93808000,108438.88218741,12753.50255819
1508155200000,5739.96000000,5747.99000000,5728.99000000,5731.46000000,25.54240500,1508156999999,146618.79469181,214,10.91634000,62689.87235349,12735.12872379
1508157000000,5723.03000000,5749.80000000,5721.00000000,5748.95000000,30.36729600,1508158799999,174212.26827465,229,18.19232000,104479.81349371,12739.00144732
1508158800000,5748.96000000,5748.96000000,5705.82000000,5724.72000000,44.37935700,1508160599999,254495.59353062,244,29.96303700,171956.90119182,12715.29754587
1508160600000,5724.74000000,5724.74000000,5686.93000000,5705.96000000,36.23841900,1508162399999,206491.23181579,294,10.11795100,57680.60008893,12678.90438972
1508162400000,5705.90000000,5719.99000000,5686.93000000,5707.01000000,24.56736200,1508164199999,140146.97777265,219,9.90383400,56513.19128878,12664.84512526
1508164200000,5707.02000000,5739.98000000,5679.97000000,5699.99000000,66.34089000,1508165999999,378373.35455458,349,41.33130200,235812.83313340,12670.36659267
1508166000000,5680.03000000,5700.00000000,5664.00000000,5688.28000000,32.01161500,1508167799999,182262.87209596,251,18.01983000,102646.92208755,12668.10574069
1508167800000,5688.12000000,5688.28000000,5680.03000000,5681.22000000,79.63319700,1508169599999,452586.18006071,217,28.60242300,162644.98559258,12652.84435880
1508169600000,5681.22000000,5700.00000000,5670.02000000,5691.81000000,69.72564900,1508171399999,396764.27444940,268,25.27522000,143920.07948843,12662.56254996
1508171400000,5670.10000000,5690.70000000,5642.02000000,5664.71000000,30.42282000,1508173199999,172626.64713885,180,19.09386300,108481.54410992,12665.82382879
1508173200000,5642.06000000,5678.94000000,5642.06000000,5670.02000000,30.79947400,1508174999999,174338.04000683,173,10.66502800,60468.95038286,12718.47512305
1508175000000,5670.03000000,5700.00000000,5670.03000000,5686.33000000,62.40872900,1508176799999,355143.33625729,248,39.32235200,223932.70284740,12704.19887316
1508176800000,5686.34000000,5700.00000000,5660.65000000,5665.49000000,39.93813400,1508178599999,227185.21085566,164,15.52820600,88372.60512837,12726.13486995
1508178600000,5665.56000000,5700.00000000,5665.56000000,5699.98000000,35.10808500,1508180399999,199953.50905795,180,18.51984800,105548.39891702,12736.26077937
1508180400000,5694.00000000,5709.77000000,5693.40000000,5709.77000000,64.61457200,1508182199999,368070.96359514,228,42.57011100,242559.59729232,12729.73506721
1508182200000,5709.61000000,5720.30000000,5693.49000000,5703.27000000,24.03079900,1508183999999,137257.69663236,181,14.79593700,84570.91641268,12714.34335785
1508184000000,5718.78000000,5748.99000000,5706.02000000,5706.95000000,22.55061600,1508185799999,129048.57673618,162,14.86987300,85197.98804216,12714.49981515
