Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1513625400000,74.74500000,74.99100000,73.88300000,74.99100000,422.86000000,1513627199999,31489.30568400,98,260.10400000,19399.09171200,0
1513627200000,74.99100000,76.00000000,74.42400000,75.20600000,2089.05900000,1513628999999,156933.30176500,225,812.38900000,61258.87171800,0
1513629000000,74.61600000,74.62600000,73.25000000,74.08700000,1117.32800000,1513630799999,82871.03045200,152,519.00100000,38549.10333700,0
1513630800000,74.08700000,74.52400000,73.38900000,73.96700000,883.45800000,1513632599999,65349.96919100,130,381.93200000,28257.98567700,0
1513632600000,73.96700000,75.09700000,73.96700000,75.09700000,1042.05500000,1513634399999,77784.37789200,102,307.71500000,23068.28013000,0
1513634400000,75.30000000,78.30100000,74.45700000,78.23000000,1885.47400000,1513636199999,144836.90782300,232,1275.87000000,98129.08557500,0
1513636200000,78.23000000,78.23000000,76.59900000,77.49900000,1451.85900000,1513637999999,112140.54428300,220,868.61900000,67086.98233000,0
1513638000000,77.49900000,77.70000000,75.52300000,77.38500000,1233.44600000,1513639799999,94702.27978600,182,601.86300000,46306.93285400,0
1513639800000,77.38500000,78.27200000,76.80000000,77.03800000,953.67800000,1513641599999,73941.11878300,129,508.97900000,39482.42984000,0
1513641600000,77.20400000,77.91800000,76.82600000,77.00000000,662.95400000,1513643399999,51253.17435500,97,244.51700000,18964.34227100,0
1513643400000,77.20000000,80.54900000,77.00300000,79.61400000,5087.47200000,1513645199999,404043.33073600,346,2984.43300000,237047.13270600,0
1513645200000,80.00000000,80.55000000,78.00100000,79.62300000,1994.98800000,1513646999999,159182.48820100,242,716.93000000,57331.85051200,0
1513647000000,79.62300000,81.47000000,79.00000000,81.47000000,3012.81400000,1513648799999,241956.20145600,228,2180.33100000,175398.26860500,0
1513648800000,81.47000000,83.80000000,80.01100000,82.55000000,5320.55200000,1513650599999,436270.52251900,450,3013.58900000,247506.72524900,0
1513650600000,82.51600000,83.76000000,78.08800000,78.53400000,4480.39600000,1513652399999,358606.37174700,416,1509.65600000,121074.95572800,0
1513652400000,78.50300000,79.77500000,77.31300000,78.98700000,4329.70100000,1513654199999,339127.63271700,298,926.58700000,73059.92899900,0
1513654200000,78.97400000,81.09100000,77.80600000,78.15500000,2952.85200000,1513655999999,233834.64290700,335,1285.82100000,101539.04400400,0
1513656000000,78.73700000,79.60900000,76.80300000,76.88100000,2345.63700000,1513657799999,183248.82846900,238,633.52500000,49653.97934700,0
1513657800000,76.99900000,79.50000000,76.52100000,77.35600000,4893.63400000,1513659599999,378951.48500400,386,2372.92500000,184079.12279900,0
1513659600000,77.76300000,78.92000000,77.35600000,77.75100000,536.47400000,1513661399999,41970.11528700,111,255.75000000,20000.82217700,0
1513661400000,78.30000000,78.89900000,76.66000000,78.81800000,1372.72700000,1513663199999,106717.43733500,195,787.94500000,61412.94357300,0
1513663200000,78.90000000,79.33000000,78.44100000,79.24100000,1800.48800000,1513664999999,142148.44446900,148,927.55900000,73274.35700700,0
1513665000000,78.85600000,79.04500000,76.69000000,77.39400000,1843.08400000,1513666799999,142912.53086500,232,200.78700000,15542.62450700,0
1513666800000,77.34000000,78.51800000,76.70000000,78.33300000,1303.05700000,1513668599999,101217.85653300,191,516.60200000,40059.76529300,0
1513668600000,78.00100000,78.32000000,77.00100000,77.49000000,978.66500000,1513670399999,75917.93024800,160,360.70100000,28005.02392500,0
1513670400000,77.50000000,78.00000000,76.50000000,76.81600000,2343.98200000,1513672199999,180645.40610300,271,648.23100000,50062.42487500,0
1513672200000,77.59900000,79.60000000,77.00000000,79.50000000,2019.33900000,1513673999999,158111.43394700,181,1110.58400000,87035.18381000,0
1513674000000,79.60000000,80.00000000,78.44400000,79.45600000,1639.01500000,1513675799999,130178.19994000,202,939.91800000,74827.61504000,0
1513675800000,79.50000000,80.40600000,76.85600000,77.20200000,5258.92600000,1513677599999,410919.08612000,430,1473.31800000,115989.05167300,0
1513677600000,77.20200000,77.20200000,65.50000000,71.00000000,17535.65500000,1513679399999,1227980.57047100,1212,8180.05600000,565937.33069500,0
1513679400000,71.00000000,74.04500000,65.46000000,68.02500000,14395.80400000,1513681199999,993769.74312900,853,6113.02400000,421208.92445700,0
1513681200000,69.01300000,71.45000000,65.80000000,70.79500000,13759.62500000,1513682999999,950038.23420500,828,4111.92500000,280659.60731500,0
1513683000000,70.30000000,74.00000000,67.84400000,68.73100000,9742.48700000,1513684799999,695942.86566100,644,4402.91200000,313238.27645600,0
1513684800000,69.19900000,73.99900000,68.73100000,72.69100000,6048.45800000,1513686599999,425985.45205500,412,4787.52300000,336626.66299800,0
1513686600000,72.69100000,74.25600000,71.68000000,72.08900000,2299.21400000,1513688399999,167955.54312100,208,1051.28400000,76734.76002800,0
1513688400000,72.98900000,75.47500000,72.08900000,74.00400000,2601.46500000,1513690199999,192839.38405500,237,1085.90200000,80484.46612700,0
1513690200000,74.49600000,74.52000000,72.30000000,72.90300000,4732.96400000,1513691999999,346144.42095800,331,3355.42700000,245762.44122400,0
1513692000000,72.90000000,72.90000000,69.45900000,70.42000000,5129.07800000,1513693799999,364411.20932300,451,2198.93700000,155591.53992300,0
1513693800000,70.59700000,71.00000000,66.15000000,66.15300000,6660.57000000,1513695599999,458287.32090900,551,3163.11400000,218698.73627900,0
1513695600000,66.99500000,68.82900000,65.83500000,68.78900000,6369.81700000,1513697399999,429990.18875500,507,4489.63600000,303648.07406300,0
1513697400000,68.78900000,71.00000000,68.78900000,71.00000000,2482.79500000,1513699199999,173272.25686200,249,1549.27200000,108478.83527100,0
1513699200000,70.50300000,72.37300000,70.50300000,70.99500000,1795.88200000,1513700999999,128229.32919800,185,794.65700000,56753.30861900,0
